title,price,original_price,sale_discount,product_url,image_url,stone_type,metal_type
14K Rose Gold 0.59ct Diamond Hoop Earrings,779.99,"5,275.00",85.2,https://www.jomashop.com/lb-exclusive-14k-rose-gold-0-59ct-diamond-hoop-earrings-aer-4846-r.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-rose-gold-059ct-diamond-hoop-earrings-aer4846r_2.jpg?width=350&height=350,['Diamond'],['Gold']
14K Yellow Gold 0.77 ct Diamond Inside Out Oval Hoop Earrings,"1,049.99","7,100.00",85.2,https://www.jomashop.com/lb-exclusive-14k-yellow-gold-0-77-ct-diamond-inside-out-oval-hoop-earrings-eh4-10259y-y.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-yellow-gold-077-ct-diamond-inside-out-oval-hoop-earrings-eh410259yy_2.jpg?width=350&height=350,['Diamond'],['Gold']
14K Yellow Gold 0.25ct Diamond and Sapphire Hoop Earrings,899.99,"6,100.00",85.2,https://www.jomashop.com/lb-exclusive-14k-yellow-gold-0-25ct-diamond-and-sapphire-hoop-earrings-eh4-10194ysa-y.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-yellow-gold-025ct-diamond-and-sapphire-hoop-earrings-eh410194ysay_2.jpg?width=350&height=350,['Diamond'],['Gold']
14K White Gold 0.25 ct Diamond and 0.42 ct Ruby Hoop Earrings,899.99,"6,100.00",85.2,https://www.jomashop.com/lb-exclusive-14k-white-gold-0-25-ct-diamond-and-0-42-ct-ruby-hoop-earrings-eh4-10194wru-w.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-white-gold-025-ct-diamond-and-042-ct-ruby-hoop-earrings-eh410194wruw_2.jpg?width=350&height=350,['Diamond'],['Gold']
14K White Gold 1.0ct Diamond Hoop Earrings,"1,424.99","9,650.00",85.2,https://www.jomashop.com/lb-exclusive-14k-white-gold-1-0ct-diamond-hoop-earrings-aer-10190-w.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-white-gold-10ct-diamond-hoop-earrings-aer10190w_2.jpg?width=350&height=350,['Diamond'],['Gold']
14K White Gold 0.50ct Diamond Hoop Earrings,734.99,"4,975.00",85.2,https://www.jomashop.com/lb-exclusive-14k-white-gold-0-50ct-diamond-hoop-earrings-aer-5634-w.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-white-gold-050ct-diamond-hoop-earrings-aer5634w_2.jpg?width=350&height=350,['Diamond'],['Gold']
14K Yellow Gold 0.65ct Diamond Hoop Earrings,879.99,"5,950.00",85.2,https://www.jomashop.com/lb-exclusive-14k-yellow-gold-0-65ct-diamond-hoop-earrings-aer-10191-y.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-yellow-gold-065ct-diamond-hoop-earrings-aer10191y_2.jpg?width=350&height=350,['Diamond'],['Gold']
Pre-Owned 14K White Gold Black Diamond Drop Earrings,880.00,"5,850.00",85.0,https://www.jomashop.com/pre-owned-14k-white-gold-black-diamond-drop-earrings-39639.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/p/r/preowned-14k-white-gold-black-diamond-drop-earrings-39639_2.jpg?width=350&height=350,['Black diamond'],['Gold']
14K Rose Gold 0.75 ct Diamond Hoop Earrings,869.99,"5,800.00",85.0,https://www.jomashop.com/lb-exclusive-14k-rose-gold-0-75-ct-diamond-hoop-earrings-aer-14256r-r.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-rose-gold-075-ct-diamond-hoop-earrings-aer14256rr_2.jpg?width=350&height=350,['Diamond'],['Gold']
16MM Endless Hoop Earrings In Sterling Silver,49.74,331.7,85.0,https://www.superjeweler.com/16mm-endless-hoop-earrings-in-sterling-silver-56235.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic56235-1",['No Stone'],['Sterling silver']
16MM Endless Hoop Earrings In 14 Karat Yellow Gold Over Sterling Silver,49.74,331.7,85.0,https://www.superjeweler.com/16mm-endless-hoop-earrings-in-14-karat-yellow-gold-over-sterling-silver-55111.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic55111-1",['No Stone'],['Yellow gold']
14K Yellow Gold 0.59ct Diamond Hoop Earrings,799.99,"5,300.00",84.9,https://www.jomashop.com/lb-exclusive-14k-yellow-gold-0-59ct-diamond-hoop-earrings-aer-4846-y.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-yellow-gold-059ct-diamond-hoop-earrings-aer4846y_2.jpg?width=350&height=350,['Diamond'],['Gold']
